IDNasabah,Usia,JenisPekerjaan,PendapatanBulanan_juta,PendapatanTahunan_juta,SkorKredit,LamaMenjadiNasabah_tahun,RataSaldoTabungan_juta,JumlahProdukDimiliki,TotalTransaksiBulanan,RasioUtangTerhadapPendapatan,LimitKredit_juta
NSB00039,28,PNS,5.12,61.27,628,2,0.8,3,25,0.217,25.05
NSB00040,31,Wiraswasta,11.18,133.1,735,4,34.3,4,41,0.494,30.79
NSB00041,59,PNS,18.27,220.92,609,11,49.86,3,54,0.379,64.67
NSB00042,45,Karyawan,11.28,136.1,733,16,11.77,1,30,0.222,45.7
NSB00043,26,PNS,11.33,136.42,652,9,29.18,1,31,0.21,39.54
NSB00044,40,Karyawan,18.32,219.75,635,0,57.08,2,45,0.178,69.48
NSB00045,33,PNS,20.15,240.9,531,3,49.81,2,24,0.309,59.51
NSB00046,51,Wiraswasta,7.38,89.41,690,8,25.94,2,21,0.295,19.12
NSB00047,58,Karyawan,13.17,157.43,560,0,17.06,2,37,0.159,35.64
NSB00048,22,Karyawan,6.37,76.87,577,6,23.03,3,50,0.335,21.69
NSB00049,42,Wiraswasta,5.99,71.96,595,0,16.56,1,25,0.408,9.07
NSB00050,41,Profesional,14.24,170.24,641,11,4.17,3,54,0.352,57.95
NSB00051,65,Karyawan,5.0,59.8,587,9,14.45,2,33,0.303,22.83
NSB00052,38,Karyawan,11.45,137.15,713,4,30.16,2,34,0.438,34.99
NSB00053,29,Karyawan,12.35,147.81,675,5,19.21,2,38,0.333,36.92
NSB00054,30,Wiraswasta,16.41,195.78,763,0,61.62,2,39,0.327,48.99
NSB00055,43,Karyawan,5.76,69.23,575,2,14.93,2,29,0.375,18.22
NSB00056,48,Karyawan,12.78,152.78,584,1,27.55,3,36,0.161,40.31
NSB00057,36,Profesional,9.82,118.19,744,6,32.57,2,23,0.452,41.36
NSB00058,41,Karyawan,22.71,272.29,574,0,55.87,3,59,0.318,75.7
NSB00059,51,Wiraswasta,7.13,85.6,635,2,23.08,1,24,0.294,8.77
NSB00060,35,Wiraswasta,5.89,70.7,624,10,16.09,4,26,0.371,23.01
NSB00061,64,Profesional,13.6,162.93,621,3,60.33,3,29,0.196,53.37
NSB00062,31,PNS,6.72,80.6,589,18,7.94,1,30,0.217,26.18
NSB00063,63,Karyawan,5.35,64.24,588,5,19.29,2,32,0.342,10.06
NSB00064,60,Profesional,16.83,203.8,789,16,28.15,3,38,0.352,76.3
NSB00065,64,Karyawan,13.12,156.61,647,4,22.4,2,21,0.169,52.73
NSB00066,57,Karyawan,4.0,47.86,724,11,4.08,1,29,0.284,23.85
NSB00067,45,Wiraswasta,6.5,77.87,578,0,0.97,3,22,0.211,17.32
NSB00068,48,PNS,5.89,70.31,625,2,18.09,3,37,0.26,21.28
NSB00069,31,Profesional,14.66,174.96,686,7,46.86,2,14,0.199,61.14
NSB00070,37,Karyawan,22.55,268.88,725,15,18.55,5,63,0.376,81.62
NSB00071,42,Profesional,30.58,366.81,657,2,90.5,5,63,0.321,119.58
NSB00072,63,Karyawan,15.14,181.26,697,21,33.36,2,32,0.199,67.07
NSB00073,56,PNS,5.93,71.19,678,2,20.92,4,29,0.341,22.54
NSB00074,46,Wiraswasta,5.82,69.43,630,0,9.04,1,20,0.299,3.0
NSB00075,48,Wiraswasta,6.39,76.39,561,15,13.7,1,33,0.295,15.79
NSB00076,41,Karyawan,13.52,162.8,597,1,6.9,4,39,0.158,37.4
NSB00077,40,Karyawan,20.25,243.68,583,1,26.82,1,53,0.188,67.42
NSB00078,61,Karyawan,4.0,47.69,518,1,3.07,2,23,0.273,3.53
NSB00079,22,Profesional,14.39,173.21,683,3,28.34,2,45,0.208,60.56
NSB00080,36,Karyawan,16.99,203.38,702,3,24.39,2,53,0.254,56.4
NSB00081,39,Karyawan,12.36,147.63,634,17,30.4,2,29,0.352,41.5
NSB00082,52,Karyawan,56.42,678.84,723,9,55.8,2,75,0.369,266.99
NSB00083,40,Wiraswasta,13.85,166.75,764,9,36.81,2,24,0.285,39.15
NSB00084,35,PNS,10.66,126.61,649,12,23.91,2,10,0.262,45.64
NSB00085,25,PNS,14.4,173.35,642,6,24.78,2,38,0.118,55.92
NSB00086,33,Karyawan,7.9,94.58,639,2,8.98,1,29,0.29,24.93
NSB00087,26,Karyawan,5.92,70.87,690,2,18.12,2,34,0.251,28.8
NSB00088,52,PNS,13.06,156.44,708,18,45.3,3,25,0.258,56.46
NSB00089,40,Profesional,19.1,230.1,713,5,35.84,4,47,0.357,65.81
NSB00090,32,Wiraswasta,9.28,111.88,581,5,25.15,2,15,0.168,20.9
NSB00091,45,Karyawan,16.97,203.84,694,4,61.88,4,37,0.365,58.17
NSB00092,43,PNS,8.62,103.72,649,12,25.42,3,47,0.196,40.15
NSB00093,42,Karyawan,24.49,296.26,627,7,86.46,2,28,0.154,96.95
NSB00094,47,Karyawan,11.72,140.57,667,4,48.22,1,38,0.207,47.15
NSB00095,49,PNS,13.84,165.33,795,9,34.69,2,21,0.188,60.24
NSB00096,30,Wiraswasta,15.62,187.75,674,10,59.15,2,40,0.286,55.94
NSB00097,28,Karyawan,5.19,62.43,710,14,2.42,1,14,0.476,9.48
NSB00098,54,Karyawan,9.54,114.36,615,3,21.9,3,21,0.462,26.08
NSB00099,64,PNS,27.31,327.33,612,14,60.95,3,29,0.267,109.45
NSB00100,46,Profesional,10.69,129.32,655,1,22.36,3,39,0.278,38.74
NSB00101,41,Wiraswasta,21.74,260.5,610,7,7.54,2,22,0.425,62.38
NSB00102,49,Karyawan,16.61,198.52,628,2,67.88,1,36,0.395,47.63
NSB00103,23,Wiraswasta,4.05,48.06,729,4,1.84,3,28,0.215,23.76
NSB00104,38,Profesional,15.15,182.32,556,8,10.04,1,11,0.351,44.73
NSB00105,37,Profesional,5.95,71.73,663,10,15.6,1,21,0.329,35.26
NSB00106,40,PNS,12.01,143.39,671,6,42.65,2,22,0.409,34.26
NSB00107,54,PNS,8.45,101.6,690,18,15.74,2,34,0.554,33.95
NSB00108,43,Karyawan,10.6,126.98,623,11,29.6,2,34,0.285,33.94
NSB00109,59,Karyawan,10.11,121.3,644,4,32.04,2,47,0.371,29.29
NSB00110,42,PNS,11.9,142.41,576,1,45.28,4,42,0.306,35.72
NSB00111,23,Karyawan,8.31,99.68,712,3,11.4,3,34,0.319,27.31
NSB00112,51,Karyawan,5.19,62.47,638,6,12.72,3,36,0.218,21.64
NSB00113,57,Wiraswasta,6.2,74.22,704,6,19.19,2,32,0.268,26.1
NSB00114,47,Karyawan,16.89,202.06,661,14,63.62,2,35,0.349,70.99
NSB00115,63,Profesional,25.71,307.17,733,11,58.79,4,56,0.216,120.04
NSB00116,40,Profesional,11.83,142.55,666,1,9.33,2,36,0.337,42.71
NSB00117,57,PNS,16.25,194.28,571,0,64.15,1,39,0.328,43.37
NSB00118,22,Profesional,17.43,209.61,753,10,65.37,3,27,0.28,78.81
NSB00119,23,Wiraswasta,5.15,61.47,766,2,4.46,1,24,0.503,3.0
NSB00120,56,PNS,4.0,47.57,674,2,6.72,1,33,0.396,6.85
NSB00121,60,PNS,10.21,122.2,569,7,12.56,2,38,0.378,19.21
NSB00122,44,Profesional,4.0,48.03,596,11,12.28,1,31,0.408,17.5
NSB00123,55,PNS,9.1,109.63,500,1,11.86,1,35,0.313,16.63
NSB00124,36,Wiraswasta,4.86,58.49,582,5,19.44,1,28,0.263,9.14
NSB00125,53,Profesional,7.58,91.05,747,11,13.4,2,41,0.358,39.85
NSB00126,43,Profesional,7.09,84.2,694,7,16.89,2,20,0.332,32.36
NSB00127,35,Wiraswasta,13.74,165.14,639,21,33.32,3,46,0.376,50.4
NSB00128,26,Karyawan,7.49,89.32,547,0,26.73,3,35,0.319,7.36
NSB00129,29,Wiraswasta,5.77,69.02,595,6,22.18,1,22,0.279,14.24
NSB00130,61,Karyawan,10.76,130.0,710,9,27.7,1,31,0.255,43.15
NSB00131,41,Karyawan,49.05,590.76,727,0,21.35,2,66,0.185,206.31
NSB00132,65,PNS,13.55,161.85,714,1,27.31,2,21,0.185,54.18
NSB00133,37,Karyawan,4.0,47.92,634,20,12.39,1,14,0.423,13.24
NSB00134,24,Profesional,11.0,132.37,648,6,23.04,3,45,0.305,45.46
NSB00135,33,Profesional,39.92,478.61,642,0,32.43,3,50,0.327,157.49
NSB00136,37,Karyawan,11.45,137.24,664,17,8.84,2,42,0.23,42.11
NSB00137,52,Karyawan,20.41,243.75,628,1,60.39,2,48,0.241,71.92
NSB00138,54,Karyawan,18.68,224.57,626,1,11.59,1,41,0.348,53.69
NSB00139,54,Karyawan,19.45,233.95,676,1,47.88,2,41,0.317,72.82
NSB00140,35,Wiraswasta,18.11,216.56,615,1,33.9,2,54,0.444,41.88
NSB00141,38,Profesional,12.15,144.58,627,3,8.58,2,39,0.076,49.02
NSB00142,46,Karyawan,9.53,115.15,590,6,33.57,2,45,0.312,22.1
NSB00143,48,Karyawan,9.07,108.5,704,6,23.27,2,41,0.331,29.46
NSB00144,40,Karyawan,11.16,134.1,722,1,38.07,1,28,0.247,39.5
NSB00145,30,PNS,13.09,156.5,735,0,33.41,1,29,0.361,40.81
NSB00146,56,Karyawan,5.4,64.59,666,3,16.28,1,24,0.261,3.0
NSB00147,44,PNS,9.06,109.11,618,0,27.75,2,37,0.301,15.5
NSB00148,64,PNS,10.27,123.05,634,21,10.84,1,18,0.474,48.53
NSB00149,63,Karyawan,11.09,133.45,590,8,24.19,2,15,0.189,44.45
NSB00150,61,Karyawan,8.93,107.47,633,6,26.37,2,30,0.345,27.99
NSB00151,64,Karyawan,15.95,190.96,569,1,47.91,3,24,0.245,51.66
NSB00152,49,PNS,9.93,119.27,682,6,7.69,3,27,0.175,36.81
NSB00153,35,Wiraswasta,8.63,103.85,645,4,26.72,2,34,0.34,24.3
NSB00154,29,Profesional,5.51,66.43,542,1,18.51,2,32,0.065,19.56
NSB00155,26,Wiraswasta,7.0,83.89,646,14,15.3,1,42,0.334,18.13
NSB00156,63,Karyawan,11.82,141.81,681,3,36.02,1,18,0.145,47.03
NSB00157,33,Karyawan,11.16,133.39,691,1,8.21,3,18,0.284,31.21
NSB00158,23,Karyawan,4.0,48.14,676,18,4.09,2,35,0.219,38.73
NSB00159,23,Wiraswasta,16.96,203.55,689,6,56.02,4,28,0.381,50.25
NSB00160,35,Profesional,7.28,86.88,638,1,11.55,1,32,0.306,19.87
NSB00161,65,Wiraswasta,6.56,78.59,597,2,11.64,2,10,0.331,4.34
NSB00162,34,Profesional,18.72,224.49,697,16,11.18,3,31,0.151,89.9
NSB00163,26,Karyawan,19.2,229.81,648,0,46.35,3,49,0.411,58.41
NSB00164,51,Karyawan,7.24,86.61,589,1,20.91,2,13,0.222,28.0
NSB00165,24,Wiraswasta,8.72,103.94,661,9,26.94,1,26,0.423,13.41
NSB00166,43,Karyawan,5.55,66.61,613,0,6.9,2,32,0.194,16.61
NSB00167,25,Wiraswasta,16.01,191.76,662,2,32.11,4,28,0.405,42.37
NSB00168,26,Profesional,16.78,202.05,637,0,10.64,3,44,0.38,46.64
NSB00169,37,PNS,8.35,100.14,655,12,28.39,2,41,0.406,36.62
NSB00170,22,PNS,21.62,260.26,565,6,43.72,4,45,0.194,76.23
NSB00171,59,PNS,16.91,201.91,772,2,17.53,1,32,0.255,58.83
NSB00172,48,Wiraswasta,9.83,118.11,671,3,30.78,1,41,0.298,29.83
NSB00173,63,Karyawan,15.26,183.62,661,1,48.02,2,21,0.362,51.29
NSB00174,43,PNS,4.44,53.43,715,2,15.43,1,31,0.487,3.0
NSB00175,46,Karyawan,9.15,109.66,685,3,33.25,1,27,0.277,26.87
NSB00176,48,Wiraswasta,11.95,142.87,683,10,9.13,2,39,0.293,34.9
NSB00177,42,Karyawan,10.43,125.97,669,3,35.38,2,31,0.26,34.47
NSB00178,46,Wiraswasta,30.45,365.06,768,4,26.37,5,45,0.413,110.04
NSB00179,47,Wiraswasta,12.32,147.11,664,7,31.05,1,35,0.232,37.93
NSB00180,61,Wiraswasta,12.69,152.13,597,14,37.17,2,38,0.223,51.81
NSB00181,35,Karyawan,5.26,63.19,576,15,18.03,3,24,0.366,29.43
NSB00182,62,Wiraswasta,9.51,113.78,716,6,14.33,1,11,0.267,23.7
NSB00183,29,Karyawan,6.98,83.89,613,2,30.7,2,32,0.481,12.87
NSB00184,30,PNS,35.56,428.19,719,5,29.24,3,58,0.304,145.09
NSB00185,33,PNS,8.45,101.37,643,9,23.49,1,9,0.088,31.16
NSB00186,63,Karyawan,11.16,134.44,665,5,10.01,2,20,0.253,27.12
NSB00187,32,Wiraswasta,19.73,236.62,615,6,13.66,3,17,0.124,60.14
NSB00188,56,Karyawan,14.75,176.65,662,1,10.1,4,44,0.278,45.54
NSB00189,47,Karyawan,5.03,60.73,519,10,11.89,1,26,0.259,7.08
NSB00190,50,Karyawan,14.61,175.74,666,16,1.45,3,32,0.268,51.43
NSB00191,25,Karyawan,15.17,182.1,569,3,41.75,1,40,0.137,52.0
NSB00192,51,Karyawan,9.54,113.65,629,2,28.29,1,51,0.34,21.59
NSB00193,25,Karyawan,13.35,159.3,638,1,31.57,2,28,0.182,40.34
NSB00194,46,Karyawan,11.07,131.95,617,0,13.95,2,21,0.494,23.36
NSB00195,56,Karyawan,5.1,61.18,621,0,9.42,1,37,0.435,3.0
NSB00196,62,Karyawan,7.82,93.82,525,1,11.12,1,6,0.151,17.22
NSB00197,65,Wiraswasta,10.6,127.4,580,5,44.49,1,4,0.319,31.11
NSB00198,32,Profesional,7.73,93.13,612,2,14.32,2,39,0.272,22.92
NSB00199,55,Profesional,13.88,165.53,666,5,38.21,1,30,0.372,52.82
NSB00200,48,Profesional,17.66,210.76,652,0,17.19,4,29,0.296,49.3
NSB00201,54,PNS,12.09,144.54,608,25,11.38,3,30,0.323,58.73
NSB00202,57,Karyawan,8.64,103.86,691,0,17.55,1,27,0.188,23.84
NSB00203,42,Profesional,21.3,255.87,675,12,59.09,2,38,0.154,94.59
NSB00204,27,Karyawan,11.26,134.55,731,6,14.17,1,34,0.114,51.3
NSB00205,56,Profesional,12.6,150.76,667,1,52.44,1,25,0.382,45.83
NSB00206,49,Profesional,7.05,84.72,682,1,28.7,2,9,0.333,25.51
NSB00207,27,Karyawan,9.36,112.34,674,8,6.4,1,11,0.344,28.03
NSB00208,39,Wiraswasta,17.62,212.27,621,3,62.3,2,49,0.279,54.75
NSB00209,28,Profesional,15.44,184.66,636,6,17.87,2,28,0.309,46.31
NSB00210,55,PNS,9.51,114.05,683,5,15.7,2,24,0.21,44.5
NSB00211,36,Wiraswasta,10.53,125.85,642,13,28.61,2,3,0.343,23.87
NSB00212,24,Karyawan,11.63,140.18,527,2,17.57,2,17,0.191,30.71
NSB00213,34,PNS,6.43,77.47,635,7,17.77,2,29,0.258,30.45
NSB00214,48,Karyawan,9.52,114.45,634,0,23.76,2,24,0.273,22.44
NSB00215,48,Profesional,8.04,96.84,660,6,28.49,4,37,0.244,42.01
NSB00216,59,Karyawan,5.1,61.53,683,11,11.17,1,29,0.207,24.49
NSB00217,37,Karyawan,11.35,136.98,740,2,42.27,2,27,0.321,38.34
NSB00218,49,Profesional,9.73,117.54,539,0,33.27,1,56,0.301,26.48
NSB00219,63,PNS,4.9,58.63,720,4,12.32,2,22,0.29,27.07
NSB00220,36,Karyawan,6.94,83.01,658,1,26.17,1,33,0.3,28.37
NSB00221,23,Karyawan,10.02,120.85,645,8,23.24,2,35,0.311,26.87
NSB00222,50,Karyawan,4.0,47.92,559,8,2.63,4,52,0.257,19.55
NSB00223,48,Karyawan,11.54,137.5,640,4,12.6,2,29,0.105,46.9
NSB00224,36,Karyawan,12.05,144.33,658,0,25.67,2,26,0.322,29.58
NSB00225,46,Karyawan,14.69,176.99,634,2,17.55,2,29,0.108,55.75
NSB00226,51,PNS,7.69,92.11,612,7,10.95,1,31,0.359,3.0
NSB00227,58,Karyawan,5.0,60.18,584,2,1.0,3,37,0.316,16.85
NSB00228,27,Profesional,14.54,174.69,607,7,37.69,2,27,0.196,56.4
NSB00229,42,Karyawan,5.13,61.23,652,2,14.15,3,33,0.214,19.44
NSB00230,34,Karyawan,13.89,166.98,663,1,43.67,2,17,0.259,44.11
NSB00231,36,Profesional,7.38,88.56,671,1,11.53,2,46,0.378,28.93
NSB00232,23,PNS,6.19,74.12,573,1,6.68,1,38,0.391,5.58
NSB00233,40,Wiraswasta,12.22,145.8,702,1,3.46,2,42,0.467,15.87
NSB00234,25,Karyawan,18.79,226.92,778,1,65.55,2,37,0.367,56.52
NSB00235,62,Profesional,9.66,115.5,631,2,29.96,1,21,0.204,32.37
NSB00236,46,Karyawan,9.23,109.86,706,8,26.04,1,33,0.204,35.42
NSB00237,40,Wiraswasta,4.36,52.49,543,2,5.1,3,22,0.487,3.0
NSB00238,32,Karyawan,16.15,193.45,803,13,24.85,2,20,0.435,61.11
NSB00239,63,PNS,10.89,131.3,708,17,34.69,4,44,0.321,50.77
NSB00240,44,Karyawan,9.1,109.15,690,1,9.79,1,30,0.45,17.06
NSB00241,65,PNS,20.7,248.38,661,1,32.58,2,56,0.18,67.35
NSB00242,51,Karyawan,4.64,55.81,544,7,7.96,2,18,0.475,3.82
NSB00243,65,Karyawan,8.07,96.88,692,16,17.94,4,46,0.348,37.48
NSB00244,60,Karyawan,10.51,126.18,651,10,8.89,1,22,0.343,31.7
NSB00245,54,Profesional,8.99,108.34,711,14,29.03,2,31,0.265,48.54
NSB00246,37,Wiraswasta,4.0,47.83,568,2,17.55,1,29,0.143,15.1
NSB00247,56,Wiraswasta,12.57,151.17,513,18,46.87,2,35,0.333,40.47
NSB00248,36,Karyawan,10.32,123.98,674,19,26.02,1,20,0.506,37.46
NSB00249,59,Profesional,17.74,211.51,692,25,14.77,2,47,0.272,80.92
NSB00250,35,PNS,30.29,365.09,704,1,121.52,3,39,0.234,128.79
NSB00251,25,Wiraswasta,9.51,114.47,581,3,30.22,1,43,0.268,25.82
NSB00252,27,PNS,12.81,154.66,635,10,46.02,2,12,0.306,56.76
NSB00253,41,Karyawan,11.96,143.27,607,1,29.84,2,44,0.197,36.61
NSB00254,51,PNS,11.45,136.8,604,7,0.1,3,28,0.361,35.89
NSB00255,34,PNS,9.76,118.56,672,7,41.63,4,32,0.224,43.85
NSB00256,58,Karyawan,12.82,153.21,617,2,8.55,4,20,0.424,24.44
NSB00257,33,Wiraswasta,18.85,225.48,614,1,12.46,4,43,0.153,58.73
NSB00258,42,Profesional,6.74,81.06,618,14,15.09,1,28,0.39,30.98
NSB00259,36,Karyawan,28.18,337.57,643,1,44.95,3,57,0.229,106.48
NSB00260,46,Profesional,13.64,163.95,712,0,33.12,3,49,0.316,49.8
NSB00261,30,PNS,12.27,146.46,624,4,26.73,1,29,0.328,35.78
NSB00262,64,PNS,4.0,47.67,626,18,13.35,1,24,0.293,21.73
NSB00263,62,Profesional,10.43,124.89,657,10,41.03,1,33,0.261,54.92
NSB00264,52,PNS,6.31,75.92,693,12,23.5,2,32,0.416,22.66
NSB00265,45,PNS,14.14,169.66,668,13,51.25,2,50,0.213,61.54
NSB00266,54,Wiraswasta,17.23,207.75,670,4,72.34,3,43,0.418,57.81
NSB00267,42,Profesional,19.07,228.6,673,0,43.4,4,36,0.069,77.52
NSB00268,61,Karyawan,9.62,115.53,664,1,17.34,2,38,0.322,28.67
NSB00269,24,Karyawan,10.09,120.64,678,15,4.78,1,9,0.157,33.95
NSB00270,31,Karyawan,13.16,157.0,554,1,12.04,2,21,0.294,29.25
NSB00271,42,PNS,4.0,47.77,635,11,13.51,1,21,0.159,29.91
NSB00272,50,Karyawan,8.37,100.12,617,12,29.37,1,26,0.192,18.12
NSB00273,53,Profesional,7.91,95.66,668,4,22.34,2,44,0.201,26.6
NSB00274,53,Karyawan,13.75,164.15,719,7,33.61,1,33,0.239,51.23
NSB00275,63,Wiraswasta,8.27,98.89,599,1,32.48,2,28,0.093,17.59
NSB00276,59,Karyawan,15.44,186.29,672,0,42.09,3,47,0.32,44.15
NSB00277,62,Karyawan,9.49,113.58,649,3,21.37,1,35,0.261,33.16
NSB00278,37,Karyawan,16.36,196.78,621,0,55.61,3,47,0.258,43.36
NSB00279,52,PNS,33.23,395.13,747,1,108.11,5,71,0.324,144.3
NSB00280,52,Karyawan,23.57,281.74,628,2,88.95,2,51,0.19,87.71
NSB00281,48,PNS,17.16,206.34,603,2,58.39,2,37,0.309,54.48
NSB00282,48,Karyawan,19.02,226.69,648,19,32.25,2,33,0.321,60.5
NSB00283,45,Karyawan,8.67,104.11,703,9,35.28,1,13,0.401,32.38
NSB00284,40,Karyawan,7.02,84.25,574,0,17.7,2,37,0.385,3.08
NSB00285,28,Karyawan,6.75,80.82,608,12,3.15,1,27,0.27,21.1
NSB00286,26,Wiraswasta,11.61,139.17,688,2,34.31,2,43,0.336,39.0
NSB00287,22,Profesional,22.56,271.48,698,11,43.47,4,46,0.326,85.75
NSB00288,37,Wiraswasta,7.18,86.14,615,3,17.85,4,40,0.314,15.8
NSB00289,38,Wiraswasta,13.38,161.19,580,0,40.74,4,42,0.103,36.88
NSB00290,64,Wiraswasta,5.48,65.96,660,12,13.05,1,9,0.201,15.79
NSB00291,32,Karyawan,5.57,67.25,559,2,9.63,1,21,0.319,7.12
NSB00292,31,Karyawan,16.38,196.22,659,5,19.46,1,11,0.232,54.09
NSB00293,23,Wiraswasta,7.34,88.14,623,0,21.44,2,30,0.238,16.06
NSB00294,27,Karyawan,7.23,86.39,617,2,20.84,2,63,0.227,20.25
NSB00295,50,Profesional,29.29,352.34,675,2,14.71,3,62,0.221,108.89
NSB00296,38,PNS,10.87,130.07,664,3,13.78,1,45,0.309,35.57
NSB00297,49,Karyawan,10.25,123.3,525,1,31.83,3,32,0.442,13.82
NSB00298,26,Karyawan,9.31,111.59,564,1,34.97,2,22,0.357,26.94
NSB00299,55,PNS,13.01,156.01,672,2,38.41,2,30,0.407,31.58
NSB00300,33,PNS,7.26,87.2,612,2,21.44,2,37,0.182,23.15
NSB00301,24,Profesional,10.8,129.21,671,1,20.39,2,21,0.489,33.22
NSB00302,62,PNS,18.45,220.8,739,3,22.4,3,68,0.362,61.48
NSB00303,37,Wiraswasta,8.88,106.29,721,6,12.96,3,28,0.188,35.48
NSB00304,36,Karyawan,4.0,47.89,668,2,6.36,1,21,0.265,4.66
NSB00305,24,Karyawan,7.46,89.74,633,4,25.83,3,46,0.393,23.88
NSB00306,47,Karyawan,15.63,187.26,711,5,31.08,4,47,0.245,64.61
NSB00307,34,PNS,18.78,224.83,638,11,50.15,3,51,0.203,74.74
NSB00308,32,Profesional,12.67,152.53,682,15,43.23,1,7,0.177,67.2
NSB00309,51,Wiraswasta,22.03,265.08,649,6,42.31,3,41,0.285,72.57
NSB00310,51,Karyawan,6.11,73.27,632,15,9.8,1,24,0.408,12.83
NSB00311,28,Karyawan,20.39,247.07,616,5,65.79,1,37,0.281,67.12
NSB00312,27,PNS,11.69,139.69,650,1,44.22,2,52,0.262,41.51
NSB00313,32,Karyawan,14.9,179.94,559,4,22.91,1,25,0.413,35.7
NSB00314,56,Karyawan,4.0,48.05,509,2,4.31,1,27,0.289,3.05
NSB00315,33,Karyawan,16.68,200.95,754,22,43.21,4,62,0.325,77.12
NSB00316,40,Wiraswasta,11.84,141.9,646,0,13.86,3,13,0.252,36.62
NSB00317,27,Karyawan,28.28,340.92,702,0,46.87,5,40,0.114,116.08
NSB00318,30,Karyawan,11.56,138.16,620,1,41.35,2,29,0.341,26.81
NSB00319,51,Profesional,6.32,76.08,639,0,11.77,2,19,0.227,20.27
NSB00320,55,PNS,6.91,83.0,599,4,17.1,1,13,0.428,16.08
NSB00321,60,Karyawan,12.95,155.95,607,3,11.87,4,43,0.181,35.99
NSB00322,46,PNS,12.31,147.43,588,8,48.04,1,46,0.169,44.8
NSB00323,34,Karyawan,7.54,90.63,728,5,29.04,1,13,0.4,20.9
NSB00324,41,Profesional,6.02,72.01,560,0,15.18,3,44,0.36,11.62
NSB00325,28,PNS,23.07,276.43,753,7,91.31,1,28,0.243,102.29
NSB00326,32,Karyawan,9.26,111.0,562,3,31.91,1,22,0.23,26.78
NSB00327,43,Karyawan,10.12,121.14,577,2,24.36,1,40,0.224,22.86
NSB00328,56,Karyawan,7.95,95.21,698,5,25.9,1,34,0.366,15.59
