IDCabang,KategoriKota,Wilayah,JumlahNasabahAktif,JumlahTeller,JumlahPegawai,JumlahATM,LuasCabang_m2,UmurCabang_tahun,JamOperasionalPerHari,TransaksiHarian,TransaksiBulanan,SkorKepuasanNasabah,KodeInternal,BiayaOperasional_jutaPerBulan
CBG01444,Kota Kecil,Jawa Tengah,5662,5,13,4,243.0,1,8.3,367,8118,,8193,209.1
CBG02265,Metro,Jawa Timur,10445,11,28,7,,31,6.8,621,13573,4.9,2089,379.33
CBG02835,Kota Kecil,Jawa Tengah,2900,5,19,2,401.0,26,10.6,292,6467,3.28,4908,203.23
CBG00585,Metro,Jawa Timur,9081,10,24,5,428.0,30,7.3,579,12751,4.59,8090,345.47
CBG01477,Kota Besar,Sumatera,11027,11,32,6,580.0,32,6.8,703,15485,3.89,9579,369.97
CBG01436,Kota Kecil,Kalimantan,4905,6,18,3,230.0,11,9.0,385,8471,4.81,1461,231.94
CBG01167,Kota Besar,Jawa Timur,5324,7,18,4,515.0,2,8.5,331,7314,4.68,7479,254.89
CBG02091,Kota Besar,Sulawesi,4347,7,16,1,386.0,39,6.1,371,8175,4.26,3651,245.19
CBG01746,Kota Kecil,Jawa Timur,4742,4,15,3,360.0,14,7.0,374,8225,4.67,7259,215.33
CBG01699,Kota Besar,Jawa Barat,5541,8,21,4,333.0,13,9.4,450,9882,4.24,3842,263.11
CBG02784,Kota Kecil,Jawa Barat,7068,8,24,4,354.0,32,7.5,513,11275,3.78,5095,295.03
CBG00675,Kota Kecil,Kalimantan,7773,8,26,4,349.0,10,7.9,555,12197,4.28,9771,308.64
CBG00993,Kota Besar,Sumatera,7478,9,23,5,364.0,38,7.6,461,10185,3.82,7811,307.31
CBG02052,Kota Kecil,Sumatera,5640,6,18,2,426.0,19,8.3,255,5595,,7182,246.77
CBG00204,Kota Kecil,Jawa Barat,3677,7,22,2,259.0,12,8.3,300,6617,4.86,5282,204.77
CBG02773,Kota Kecil,Indonesia Timur,2284,7,23,1,218.0,18,6.1,193,4225,3.72,4214,174.84
CBG00853,Kota Kecil,Jawa Timur,4722,8,25,3,435.0,29,8.0,314,6946,4.38,9706,250.75
CBG02393,Kota Besar,Kalimantan,3974,3,10,2,,34,9.0,290,6398,4.28,5445,224.17
CBG02234,Kota Kecil,Sumatera,5207,6,19,2,431.0,25,8.4,283,6205,4.33,5122,242.6
CBG01243,Kota Besar,Sulawesi,2969,5,17,3,247.0,27,8.3,207,4578,3.75,6463,203.53
CBG01967,Kota Kecil,Kalimantan,2643,3,14,1,322.0,15,8.3,261,5796,,6554,171.88
CBG01969,Kota Besar,Sumatera,9629,10,26,5,544.0,20,7.4,730,16071,3.75,8772,337.39
CBG01390,Kota Besar,Kalimantan,350,3,15,1,279.0,24,7.7,20,441,3.85,9611,129.4
CBG00515,Kota Kecil,Jawa Tengah,6226,8,24,3,366.0,36,8.0,499,10947,4.75,5989,277.76
CBG00326,Kota Besar,Jawa Tengah,7804,9,23,5,450.0,44,8.1,363,7952,4.85,9312,319.09
CBG01635,Kota Besar,Sumatera,11246,12,30,4,571.0,42,8.5,761,16838,3.58,6832,362.94
CBG02078,Metro,Sulawesi,9521,10,27,7,,45,8.1,612,13499,5.0,8975,380.91
CBG01899,Kota Kecil,Jawa Tengah,4119,5,12,3,340.0,21,8.5,392,8635,4.01,4977,201.23
CBG02503,Kota Besar,Sulawesi,8602,9,27,3,347.0,35,7.6,523,11417,4.9,4387,330.52
CBG02453,Kota Kecil,Sumatera,4767,5,17,2,307.0,29,6.0,385,8537,4.72,2698,214.89
CBG02749,Kota Besar,Kalimantan,10100,9,21,7,508.0,14,7.8,567,12343,3.35,4435,328.76
CBG00700,Metro,Kalimantan,7870,7,19,6,504.0,19,8.7,554,12166,4.5,2519,339.31
CBG02963,Kota Kecil,Indonesia Timur,5679,6,14,3,419.0,5,7.1,489,10779,3.58,1317,242.75
CBG00736,Kota Kecil,Sumatera,5328,5,17,3,300.0,16,8.1,298,6660,3.59,1331,219.4
CBG02774,Metro,Jawa Tengah,5827,6,17,5,298.0,39,7.2,424,9360,4.34,9600,285.25
CBG00884,Kota Kecil,Sumatera,6641,9,28,3,436.0,18,8.7,359,7903,,2603,276.74
CBG02172,Kota Kecil,Indonesia Timur,4737,6,14,2,315.0,29,8.0,302,6581,3.74,7748,235.35
CBG01785,Metro,Kalimantan,5231,4,11,2,,23,7.1,414,9097,4.08,5265,263.75
CBG02772,Metro,Indonesia Timur,9799,8,25,6,407.0,33,8.1,620,13580,4.3,4841,365.18
CBG02675,Kota Kecil,Sumatera,1481,4,12,2,253.0,34,8.8,171,3765,4.97,5077,148.4
CBG00632,Kota Besar,Jawa Barat,5523,8,21,5,443.0,44,7.5,283,6182,3.51,4085,281.57
CBG02650,Kota Besar,Jawa Tengah,6424,7,19,5,384.0,1,8.6,441,9627,4.4,1831,257.12
CBG02934,Kota Kecil,Jawa Barat,7989,9,29,5,403.0,22,8.5,522,11541,4.89,6557,303.07
CBG01103,Metro,Kalimantan,7490,8,21,5,529.0,9,6.6,550,12036,4.08,1552,319.81
CBG02318,Metro,Sulawesi,10120,11,25,7,,18,7.3,685,15118,4.55,9417,363.6
CBG02137,Kota Besar,Jawa Timur,4573,7,19,2,478.0,33,9.6,353,7818,4.06,4861,253.85
CBG00980,Metro,Sumatera,9411,10,32,6,,3,8.8,640,14064,4.22,2347,363.64
CBG01272,Kota Kecil,Sumatera,5150,6,21,2,404.0,23,6.6,353,7721,4.0,4029,246.22
CBG00207,Kota Kecil,Kalimantan,8209,8,24,5,409.0,25,10.2,595,13163,3.83,9281,326.75
CBG01392,Metro,Kalimantan,12823,10,27,8,564.0,17,9.2,892,19535,4.4,3308,384.87
CBG00441,Kota Besar,Sulawesi,8043,11,31,4,439.0,8,6.4,511,11325,4.2,6599,301.13
CBG01514,Metro,Jawa Tengah,8639,10,30,6,521.0,1,8.1,534,11730,3.8,7373,347.99
CBG00413,Kota Kecil,Indonesia Timur,3178,2,14,3,148.0,15,7.2,282,6225,4.49,3098,184.01
CBG00225,Kota Kecil,Jawa Barat,7168,8,26,3,423.0,32,8.5,460,10155,3.09,8616,291.88
CBG00122,Kota Kecil,Kalimantan,5858,7,19,5,,44,7.5,435,9542,4.31,2143,284.8
CBG01427,Kota Kecil,Jawa Timur,3533,4,10,5,342.0,34,6.8,327,7181,2.71,2632,194.38
CBG02130,Kota Kecil,Sumatera,2219,4,13,2,317.0,22,10.2,192,4222,4.01,2629,164.48
CBG00378,Metro,Jawa Timur,10459,10,26,7,632.0,34,8.4,711,15737,4.87,8955,394.07
CBG02359,Metro,Jawa Barat,10076,10,26,5,563.0,13,7.7,599,13123,3.93,5277,360.68
CBG00415,Kota Besar,Sumatera,7224,8,25,4,399.0,34,8.4,558,12245,4.19,4758,301.78
CBG02053,Kota Kecil,Jawa Barat,6705,8,21,5,410.0,39,8.9,463,10220,4.73,6294,292.1
CBG01743,Metro,Jawa Barat,7210,7,18,5,274.0,45,6.4,463,10208,4.28,9857,310.3
CBG02187,Kota Kecil,Sulawesi,5995,7,24,5,328.0,8,8.0,476,10568,3.67,8629,249.22
CBG00685,Kota Besar,Jawa Barat,6300,6,17,2,399.0,35,8.4,470,10370,4.28,1472,272.27
CBG00869,Kota Besar,Sumatera,2567,5,13,1,,39,7.2,210,4639,4.66,8447,178.23
CBG01610,Metro,Sulawesi,9564,12,32,7,519.0,36,7.8,614,13402,4.17,6628,384.89
CBG02786,Kota Kecil,Sumatera,4342,4,16,3,326.0,1,8.0,258,5625,5.0,6013,241.54
CBG02986,Metro,Jawa Timur,8283,7,21,6,460.0,31,6.2,570,12656,,1037,332.87
CBG00281,Kota Kecil,Sulawesi,7430,10,27,5,428.0,11,8.2,500,10962,3.8,7104,289.86
CBG01105,Kota Kecil,Sumatera,6881,4,13,4,,41,7.9,464,10163,3.53,3501,261.67
CBG02744,Kota Kecil,Jawa Tengah,7496,11,29,4,411.0,41,8.0,529,11652,,6799,303.72
CBG01846,Kota Kecil,Kalimantan,350,3,14,3,239.0,28,8.9,70,1541,4.22,7507,131.8
CBG02533,Kota Kecil,Jawa Tengah,7982,7,18,4,451.0,39,8.5,492,10773,4.39,1575,302.43
CBG01052,Kota Besar,Sulawesi,4493,5,13,4,411.0,21,8.4,367,8056,3.9,7841,223.95
CBG01364,Kota Kecil,Jawa Barat,3078,7,23,4,214.0,31,8.3,255,5649,3.8,5857,197.25
CBG02283,Metro,Kalimantan,11400,12,32,6,573.0,10,9.4,771,16882,,8864,377.14
CBG02863,Kota Kecil,Sulawesi,5495,8,20,5,319.0,3,8.3,395,8726,3.86,3419,308.22
CBG00965,Kota Kecil,Jawa Tengah,6284,7,23,3,269.0,34,9.3,402,8888,3.97,9893,273.77
CBG02379,Kota Besar,Sulawesi,5712,7,21,4,342.0,14,6.1,457,10047,2.98,2929,256.53
CBG02652,Metro,Sumatera,9440,12,30,5,506.0,43,8.9,605,13354,4.91,2661,371.1
CBG02005,Kota Kecil,Jawa Barat,2242,3,12,3,90.0,6,7.5,206,4584,3.64,6450,142.75
CBG01529,Kota Kecil,Jawa Barat,2443,3,12,2,155.0,11,6.7,186,4087,4.2,3858,147.92
CBG02727,Kota Kecil,Jawa Timur,1652,3,10,3,163.0,18,9.8,230,5099,4.24,6805,134.53
CBG02479,Kota Kecil,Jawa Barat,3085,6,18,4,270.0,31,7.6,232,5115,3.68,5122,190.39
CBG02586,Kota Besar,Kalimantan,6867,7,21,3,465.0,43,8.5,481,10627,3.89,9877,295.64
CBG01058,Kota Kecil,Indonesia Timur,3782,3,14,4,325.0,44,6.5,317,7015,4.62,8995,217.74
CBG02044,Metro,Indonesia Timur,10469,9,24,5,619.0,8,7.3,723,16067,4.46,9208,371.62
CBG01110,Kota Kecil,Indonesia Timur,5454,10,30,4,381.0,10,7.7,404,8968,4.5,4213,266.56
CBG02748,Metro,Jawa Timur,7536,9,26,4,478.0,40,7.8,547,12050,,6475,345.2
CBG01964,Kota Kecil,Kalimantan,1815,3,12,1,243.0,42,7.4,193,4243,4.95,9791,205.13
CBG00859,Kota Kecil,Jawa Barat,6326,7,21,4,372.0,45,8.0,399,8716,3.88,5379,282.12
CBG02821,Kota Besar,Kalimantan,6207,7,16,2,423.0,27,9.5,506,11074,3.61,8441,282.38
CBG02954,Kota Kecil,Jawa Barat,5510,8,20,1,407.0,27,8.7,319,7062,4.51,8002,286.12
CBG02217,Metro,Kalimantan,5375,3,12,5,328.0,7,6.0,402,8813,3.73,7679,257.04
CBG02113,Kota Kecil,Jawa Timur,3394,6,20,3,99.0,45,8.1,315,6879,4.43,7553,203.5
CBG00431,Kota Kecil,Jawa Timur,350,2,9,2,90.0,41,8.3,175,3864,4.17,5857,102.78
CBG02768,Metro,Indonesia Timur,6192,5,15,4,,8,7.8,383,8373,3.73,9821,297.81
CBG00260,Kota Besar,Jawa Tengah,7154,9,29,5,452.0,11,8.1,385,8449,3.49,2552,308.67
CBG02273,Kota Besar,Jawa Tengah,3311,7,22,2,298.0,36,7.9,269,5960,,1065,217.0
CBG01708,Kota Kecil,Kalimantan,3828,5,16,3,229.0,29,7.0,262,5796,4.35,2522,210.59
CBG02260,Kota Besar,Sumatera,4384,7,19,4,261.0,21,7.7,345,7607,,1177,225.94
CBG01623,Metro,Jawa Timur,7761,6,16,5,466.0,43,8.5,479,10550,3.22,1850,324.81
CBG01382,Kota Kecil,Jawa Timur,4908,6,20,3,,24,9.8,424,9361,3.91,8275,241.54
CBG02615,Kota Kecil,Sulawesi,3509,5,15,1,377.0,25,8.6,266,5872,3.84,2942,203.95
CBG00583,Kota Besar,Indonesia Timur,4083,5,14,3,486.0,18,8.1,268,5831,4.16,9722,251.03
CBG02775,Kota Kecil,Jawa Tengah,350,3,10,2,134.0,15,9.4,167,3676,4.51,1593,91.79
CBG00751,Kota Kecil,Jawa Tengah,5490,7,18,5,328.0,15,8.7,421,9306,4.25,1098,234.39
CBG01142,Metro,Jawa Barat,7457,7,16,4,439.0,11,6.7,426,9306,4.44,5943,286.86
CBG02229,Kota Besar,Jawa Tengah,5684,6,17,1,343.0,18,8.6,418,9354,4.25,2832,242.79
CBG02585,Kota Kecil,Sumatera,1536,2,9,3,155.0,32,6.8,126,2776,3.34,2168,124.19
CBG02480,Kota Besar,Jawa Tengah,5173,7,17,4,330.0,17,6.8,385,8426,3.68,9192,230.7
CBG00975,Metro,Jawa Timur,9637,12,30,6,533.0,25,8.4,674,14821,4.5,7551,370.07
CBG02450,Kota Besar,Jawa Barat,9223,7,17,6,495.0,35,8.4,576,12745,4.52,9780,337.84
CBG02545,Kota Besar,Sumatera,5880,6,20,3,392.0,18,7.4,309,6747,3.64,8296,252.25
CBG00891,Kota Kecil,Jawa Tengah,7436,9,28,4,440.0,27,7.9,495,10944,4.69,4286,298.96
CBG02770,Kota Kecil,Jawa Tengah,3858,6,19,2,383.0,5,7.8,357,7845,4.35,9572,206.16
CBG02107,Kota Besar,Jawa Timur,5113,7,23,2,317.0,19,8.7,358,7895,4.45,5698,239.28
CBG01182,Kota Besar,Jawa Tengah,3127,7,23,3,383.0,28,7.9,335,7363,4.2,8303,212.95
CBG02977,Metro,Sulawesi,4962,7,22,2,326.0,36,9.0,378,8247,4.88,5447,269.96
CBG02441,Kota Besar,Jawa Barat,3095,5,18,3,308.0,3,7.8,308,6791,3.84,3243,194.29
CBG02534,Metro,Indonesia Timur,9511,10,29,6,494.0,33,7.6,649,14349,4.02,5432,385.58
CBG00673,Metro,Jawa Barat,6984,8,22,5,495.0,20,8.9,413,9106,3.65,3418,329.14
CBG02313,Kota Kecil,Sulawesi,884,5,14,1,186.0,32,9.0,113,2488,3.68,7676,132.65
CBG02867,Kota Kecil,Kalimantan,991,3,7,1,165.0,34,7.2,37,817,4.29,6675,137.3
CBG00708,Kota Besar,Kalimantan,5838,7,21,4,293.0,37,8.8,391,8587,4.23,5889,288.12
CBG02102,Kota Kecil,Jawa Tengah,5493,7,18,2,293.0,13,7.2,428,9457,4.73,3023,218.04
CBG01328,Kota Kecil,Jawa Tengah,5916,9,24,4,441.0,27,7.6,475,10479,3.76,2213,271.16
CBG02611,Metro,Jawa Barat,8338,8,25,5,423.0,42,6.1,564,12402,4.51,5780,358.7
CBG02893,Kota Kecil,Jawa Timur,9609,9,25,7,441.0,37,8.7,610,13422,3.91,6829,327.28
CBG00071,Kota Kecil,Indonesia Timur,6172,8,28,4,492.0,22,7.6,386,8470,4.32,2012,346.02
CBG01225,Kota Kecil,Kalimantan,4266,6,17,2,275.0,24,6.8,334,7372,3.7,2630,208.29
CBG02694,Kota Kecil,Sumatera,2821,3,10,2,253.0,11,7.0,237,5186,3.63,5534,147.67
CBG01163,Kota Kecil,Sumatera,3086,6,23,3,157.0,23,8.8,275,6060,3.98,5894,189.89
CBG01878,Kota Kecil,Sumatera,1960,2,8,2,289.0,12,7.5,168,3709,3.55,4065,144.25
CBG00035,Kota Besar,Jawa Barat,5628,7,20,3,356.0,11,7.9,472,10458,4.56,7248,251.58
CBG02931,Kota Kecil,Sulawesi,5878,6,18,4,459.0,35,8.0,377,8232,5.0,4159,274.54
CBG01601,Kota Kecil,Sumatera,3126,3,12,2,406.0,18,7.5,154,3369,3.21,1630,177.28
CBG02996,Kota Kecil,Kalimantan,3389,5,18,4,298.0,3,6.7,284,6252,3.65,3000,192.44
CBG00373,Metro,Indonesia Timur,9921,11,31,5,529.0,28,8.4,723,15799,4.46,3817,384.67
CBG02150,Kota Kecil,Kalimantan,5340,5,15,5,322.0,10,6.6,397,8815,4.47,4504,224.96
CBG00804,Kota Besar,Jawa Tengah,8601,10,25,6,483.0,36,8.1,560,12388,4.26,6273,326.33
CBG02055,Kota Besar,Sulawesi,7561,8,18,5,477.0,17,7.1,537,11744,4.39,8963,305.45
CBG01993,Metro,Kalimantan,8852,9,27,4,347.0,40,8.4,607,13334,3.84,8241,352.22
CBG00319,Kota Besar,Kalimantan,7989,8,25,6,442.0,43,6.3,440,9715,3.69,9705,373.16
CBG01165,Kota Besar,Jawa Timur,7697,8,25,4,306.0,3,8.3,540,11735,3.71,8566,279.38
CBG00540,Kota Besar,Jawa Timur,3518,5,18,2,282.0,26,7.9,309,6772,4.04,4046,210.36
CBG00119,Kota Kecil,Jawa Timur,5172,7,23,3,366.0,20,7.7,371,8144,4.88,7904,233.7
CBG00362,Kota Kecil,Jawa Tengah,7362,7,22,4,424.0,29,7.1,509,11240,4.36,2990,278.19
CBG00880,Kota Kecil,Jawa Tengah,4133,7,17,3,354.0,14,8.7,239,5282,4.14,9618,217.5
CBG02947,Metro,Jawa Barat,4846,5,16,2,261.0,10,8.5,348,7674,4.66,7862,245.48
CBG01648,Kota Besar,Jawa Barat,9678,9,21,6,545.0,14,6.9,517,11411,4.29,4599,337.76
CBG00820,Kota Besar,Jawa Timur,5595,7,21,3,375.0,36,6.4,414,9117,3.67,8199,265.7
CBG02295,Metro,Jawa Tengah,10369,11,26,5,594.0,20,9.3,740,16265,3.98,6356,372.41
CBG00593,Metro,Indonesia Timur,8911,8,21,3,565.0,30,8.5,592,13077,4.17,5686,347.0
CBG02552,Metro,Sulawesi,6743,6,19,4,413.0,20,10.3,451,9902,4.19,9488,306.73
CBG00929,Kota Besar,Jawa Timur,6521,5,19,3,293.0,29,9.5,364,7989,2.89,1888,289.4
CBG02386,Kota Kecil,Jawa Barat,3568,7,21,3,407.0,41,8.6,170,3733,3.38,9779,231.05
CBG02975,Kota Besar,Indonesia Timur,4188,7,21,3,335.0,2,9.3,274,6032,3.82,5963,245.01
CBG00420,Metro,Jawa Barat,8615,12,33,6,553.0,32,9.9,628,13747,3.63,1951,378.06
CBG00469,Kota Besar,Sumatera,6925,9,24,5,407.0,16,7.6,515,11288,3.12,4725,291.28
CBG00434,Kota Kecil,Jawa Tengah,4207,4,11,2,359.0,16,9.0,207,4566,4.03,7038,200.89
CBG02958,Kota Kecil,Indonesia Timur,350,2,9,1,,5,6.8,102,2239,2.87,8689,84.95
CBG00659,Kota Kecil,Jawa Tengah,5673,7,17,3,265.0,4,7.3,387,8512,3.34,6790,230.26
CBG00297,Kota Besar,Sumatera,7185,6,23,3,549.0,7,7.8,486,10649,3.63,1726,305.38
CBG00728,Kota Kecil,Sulawesi,3541,5,21,4,400.0,40,7.4,359,7847,2.98,2784,219.93
CBG00421,Kota Kecil,Jawa Timur,2396,4,10,3,,19,9.3,163,3590,4.41,2729,153.44
CBG01760,Kota Kecil,Sumatera,2208,4,13,1,352.0,17,8.2,199,4383,4.34,8732,164.47
CBG02806,Metro,Jawa Timur,5506,6,21,3,316.0,10,7.5,479,10624,3.35,3422,258.92
CBG02454,Metro,Jawa Tengah,10197,10,32,5,398.0,38,8.7,643,14141,5.0,6301,371.49
CBG00315,Kota Kecil,Sulawesi,4659,6,17,4,318.0,27,7.0,304,6690,3.77,9637,233.44
CBG00187,Kota Besar,Jawa Tengah,1312,2,8,3,296.0,22,7.6,123,2696,3.69,4523,137.79
CBG01496,Kota Besar,Kalimantan,7486,9,28,5,520.0,41,9.6,493,10925,3.75,5963,331.34
CBG01599,Kota Besar,Jawa Barat,4587,6,14,4,292.0,32,8.8,353,7739,4.02,5886,255.15
CBG02851,Kota Kecil,Jawa Barat,5500,9,26,3,392.0,15,8.0,365,8038,4.16,4498,259.94
CBG01990,Kota Kecil,Kalimantan,4220,4,13,3,336.0,22,9.6,278,6048,4.15,1801,230.02
CBG00430,Metro,Jawa Barat,11736,12,33,6,500.0,39,7.7,840,18513,3.79,4573,400.83
CBG00533,Kota Besar,Indonesia Timur,6440,9,26,3,498.0,13,9.0,477,10445,4.2,7998,302.64
CBG00738,Metro,Kalimantan,9571,8,21,4,463.0,36,6.8,587,13006,4.64,7827,360.06
CBG01464,Kota Besar,Indonesia Timur,5361,6,17,3,195.0,44,9.0,383,8343,3.76,8838,280.14
CBG02315,Metro,Kalimantan,7718,7,19,3,460.0,32,7.3,525,11638,5.0,4129,332.37
CBG00805,Kota Kecil,Kalimantan,5512,8,20,3,461.0,40,9.0,351,7719,3.33,7695,292.7
CBG02468,Kota Besar,Kalimantan,6096,7,24,5,,17,7.5,330,7282,4.77,1737,271.91
CBG00730,Metro,Kalimantan,5594,6,18,4,420.0,20,6.9,429,9399,,9717,289.87
CBG01206,Metro,Jawa Timur,8775,8,25,7,423.0,4,7.3,590,13001,4.56,6466,340.57
CBG01668,Kota Kecil,Sumatera,3341,6,14,3,314.0,29,7.2,247,5437,4.47,6114,197.5
CBG01612,Kota Besar,Kalimantan,6559,8,26,5,,32,7.0,404,8802,4.02,3974,294.63
CBG01099,Kota Kecil,Jawa Timur,3722,4,16,3,268.0,40,6.7,186,4096,4.4,1501,199.45
CBG00173,Kota Kecil,Jawa Barat,2419,3,7,2,358.0,30,7.0,170,3771,3.29,3855,165.12
CBG02109,Metro,Jawa Barat,5889,5,16,3,340.0,20,6.9,387,8506,4.23,7014,279.26
CBG00638,Metro,Sumatera,8517,9,20,6,478.0,33,6.4,565,12510,4.94,9763,326.41
CBG01078,Kota Kecil,Indonesia Timur,4807,7,21,3,374.0,6,7.5,372,8196,4.13,2206,242.0
CBG02145,Kota Kecil,Sulawesi,3410,4,10,2,390.0,32,7.8,281,6209,4.67,9995,199.19
CBG01911,Kota Besar,Jawa Barat,9207,9,23,5,498.0,6,9.5,574,12679,4.2,2926,369.47
CBG02816,Kota Besar,Sumatera,7558,9,25,7,428.0,36,7.3,471,10358,3.66,3286,322.33
CBG00771,Metro,Sumatera,9248,8,21,6,446.0,1,6.4,676,14911,4.14,4150,326.25
CBG01164,Metro,Indonesia Timur,10161,11,30,8,628.0,25,8.0,642,14117,3.74,8902,396.94
CBG00357,Metro,Sulawesi,8643,8,21,4,507.0,35,9.6,465,10232,,8549,349.47
CBG01055,Metro,Jawa Tengah,4333,3,10,1,279.0,23,7.7,282,6210,4.33,5024,224.51
CBG01542,Kota Kecil,Sumatera,622,2,7,3,115.0,34,8.0,111,2441,3.12,2819,106.09
CBG02566,Kota Besar,Jawa Tengah,3568,5,17,3,322.0,35,8.9,271,5957,4.65,6713,215.47
CBG00191,Kota Besar,Indonesia Timur,6048,8,24,2,,5,8.0,438,9614,3.87,7663,279.11
CBG02354,Kota Besar,Sulawesi,7788,8,25,4,417.0,44,8.3,562,12373,4.35,8250,318.13
CBG00984,Kota Besar,Sumatera,7112,9,22,5,482.0,1,7.5,487,10743,3.9,5370,284.13
CBG00721,Kota Besar,Jawa Timur,5369,6,15,4,448.0,9,7.8,367,8129,3.7,4256,240.42
CBG02903,Kota Besar,Kalimantan,8572,9,30,6,576.0,12,9.5,594,13077,2.77,7483,341.0
CBG02838,Kota Kecil,Jawa Barat,4415,7,18,4,347.0,34,8.6,307,6781,4.74,9791,240.21
CBG01548,Kota Besar,Sulawesi,5711,4,18,3,285.0,1,9.1,458,10130,4.43,8521,243.08
CBG00562,Kota Kecil,Jawa Timur,723,3,11,1,242.0,31,6.0,74,1624,3.77,7665,110.92
CBG00003,Kota Besar,Jawa Timur,7293,8,22,4,350.0,21,7.6,484,10723,5.0,9512,291.9
CBG00279,Kota Besar,Sumatera,5592,4,11,5,331.0,26,8.4,359,7922,3.41,2691,250.46
CBG02592,Kota Kecil,Jawa Timur,7326,7,18,5,505.0,29,7.7,543,11993,4.59,6019,284.43
CBG00856,Kota Besar,Sumatera,6185,7,22,4,345.0,23,7.8,397,8706,4.04,5162,281.99
CBG00563,Kota Kecil,Jawa Barat,1501,4,11,1,187.0,34,7.1,134,2927,2.93,8842,141.1
CBG00786,Metro,Kalimantan,11221,11,29,5,487.0,42,10.0,729,15974,3.81,2293,393.61
CBG02593,Kota Besar,Jawa Tengah,6339,7,22,3,442.0,22,8.3,527,11616,3.5,7082,282.2
CBG01735,Kota Besar,Jawa Barat,9654,6,19,5,462.0,11,8.5,633,13978,3.58,6325,319.01
CBG02188,Kota Kecil,Sumatera,5020,5,13,2,406.0,22,7.8,309,6737,4.51,5057,226.66
CBG00733,Kota Kecil,Jawa Barat,2151,6,19,3,286.0,25,8.1,222,4893,,9159,172.37
CBG01807,Metro,Indonesia Timur,13319,13,32,8,480.0,43,7.6,949,20980,3.27,9188,410.81
CBG01706,Kota Besar,Jawa Timur,7182,9,26,3,456.0,24,9.4,449,9821,4.44,7427,319.16
CBG00416,Kota Kecil,Jawa Barat,4587,7,21,4,217.0,12,6.8,358,7927,3.82,2776,210.47
CBG02410,Kota Besar,Indonesia Timur,5857,7,21,3,251.0,33,7.8,476,10490,3.72,1208,280.19
CBG01352,Kota Besar,Jawa Timur,4233,8,24,3,338.0,30,7.7,282,6210,3.87,4571,242.37
CBG02135,Kota Kecil,Indonesia Timur,5659,6,23,5,323.0,5,7.0,294,6453,4.0,1284,258.06
CBG00527,Kota Kecil,Jawa Tengah,3909,6,18,2,388.0,32,7.9,305,6690,3.63,3684,208.64
CBG01565,Kota Besar,Jawa Barat,6423,7,25,5,421.0,10,7.9,468,10275,2.99,7744,282.66
CBG01230,Kota Besar,Indonesia Timur,6548,5,17,3,344.0,39,6.7,384,8363,4.72,5340,273.05
CBG00457,Kota Kecil,Sumatera,4360,4,13,4,260.0,30,7.3,272,5974,4.12,6493,203.46
CBG02913,Kota Besar,Sulawesi,6946,6,17,6,489.0,31,8.0,445,9734,4.47,4780,288.6
CBG00126,Kota Besar,Sumatera,2875,4,14,2,239.0,6,7.9,236,5199,4.66,6733,174.0
CBG02236,Metro,Jawa Tengah,11629,13,28,8,572.0,4,9.0,838,18678,4.53,9110,368.74
CBG00537,Kota Kecil,Jawa Barat,2496,3,13,3,176.0,24,6.4,157,3452,3.71,7925,162.34
